Date,Technology,Healthcare,Financials,ConsumerCyclical,ConsumerDefensive,Energy,Utilities,RealEstate,Materials,Industrials,CommunicationServices
01/07/2014,-1765281,-2504318,-4457166,-394688,452800,1282357,0,-84041,84876,-273544,19230
01/08/2014,32868811,16393015,36462358,13189520,14050414,3680185,9172510,771948,-4772250,28030569,8369794
01/09/2014,8413,1411169,1353802,-456085,-32869,-58330,0,33888,0,492069,343940
01/10/2014,784821,998128,-161672,-23723,317860,-241675,98080,0,-32143,442380,662084
01/13/2014,-2445040,962908,179833,201900,28092,165233,136160,-139921,-82735,833344,2115405
01/14/2014,-19396428,95181,-151803,156761,-4004922,-1408398,340188,-1054293,-80277,507814,819428
01/15/2014,-754669,-1647609,189186,-693661,-1179670,-193747,679079,-92745,-540722,-1872215,-1392200
01/16/2014,2082352,-455873,1510797,-1610741,9380,-2924995,17464,180899,-207904,-912308,9142823
01/17/2014,2431309,-563576,-807622,530847,347364,2164979,-89888,-704699,518694,2847468,66307
01/21/2014,-15728627,-150074,-11474883,-13015166,62782,-87318964,-22537670,1396221,-59238700,-26835299,5023878
01/22/2014,-5031714,-4510992,-1069974,-57808,-3174476,-2858607,-5691855,6269002,-824256,3035795,-4445556
01/23/2014,-3136886,-1401153,-8232498,2215842,986649,-4779220,9332647,428805,-282118,-3320409,192784
01/24/2014,379310,1089682,-11824,301791,-294983,-2049,350936,-377531,345199,697327,-1954002
01/27/2014,-2133411,-1164119,-124836,1005555,-578968,652437,-323731,-440271,-213179,-2677423,-3560971
01/28/2014,-2814289,-1600508,-507713,954011,161479,280043,-411668,-1961320,-2090789,441964,-1598666
01/29/2014,-1840406,-7377948,-15323389,7696004,2210821,-7140759,831383,-2550109,2592719,6749626,-46979834
01/30/2014,-1693815,-3149559,-5241210,-3940398,-3011444,-8457592,1520379,-572016,-1714693,-1246483,-4009908
01/31/2014,340029,-6066061,-7009566,6825253,8207697,3239772,-1026498,4599601,2072195,7502330,-10264126
02/03/2014,-1693006,-4792481,2705917,631204,2823674,1634077,12984593,82544,-3049069,-3132560,1321085
02/04/2014,13136831,7630177,1370908,13157431,705630,7012176,5962104,240112,3294674,-4138368,8424021
02/05/2014,-2287936,-7916469,2744225,6782116,-1333122,-2904879,7070398,-1007920,-4592581,-4591341,-2924068
02/06/2014,-15359600,4473719,-18730284,-62228471,-15825130,-25087623,-4371539,-42198437,-8080948,-5342732,-1356730
02/07/2014,4911087,-9747200,2671398,129146806,-3064740,-867251,491498,1250980,13192176,7234228,-10242532
02/10/2014,-8068214,-23913013,-6019749,898808,-2743235,-16757056,15322340,6358844,-13023350,2912451,12773789
02/11/2014,24664039,-194047,-11801996,40727171,18659801,24845658,-11367732,14325711,5772731,5507430,22191967
02/12/2014,-4771747,-18741383,-41220726,87762369,1782161,29836506,37412808,29404900,13004151,-33538469,58656688
02/13/2014,-18806750,-44907688,12234509,9134470,-7205104,128695568,-13305207,-3677344,7062287,38180472,50853041
02/14/2014,-2772271223,-3443741203,-2939343438,-1501163484,-1612012997,-2565501014,-122867798,-73440095,-779754049,-2257297515,-1037916776
02/18/2014,13437600,29405235,63348772,87613180,16767238,48901472,773312,4298317,2343872,23765590,2198496
02/19/2014,-2247483,-2275352,-3063113,-121437,-1693919,-1387965,-692936,-185489,-409433,-1616234,-1694698
02/20/2014,-927357,-182599,18578,-115376,-592397,-1024618,0,-28008,-72533,-1091941,-150380
02/21/2014,-4602052,-1565421,-4689339,-3527876,-2052147,-656232,-5062747,-1912723,714704,3347967,1144664
02/24/2014,-488814,-439059,-536141,-82706,-161774,-264667,-33526,0,-47745,-351469,-400354
02/25/2014,278463,-94773,39677,623494,394797,1423330,2824485,0,96494,1978200,61948
02/26/2014,0,36844,0,0,174751,-36751,0,0,0,-117330,96784
02/27/2014,-222618,-173109,-167528,47211,-94029,-64110,0,0,0,-31338,-214827
03/03/2014,-300000,0,0,0,0,0,0,0,0,0,0
03/04/2014,-51674,0,-538606,0,0,0,0,0,0,0,0
03/05/2014,63999,0,34850,85450,40000,125780,-52475,41355,-313000,100925,-41650
03/06/2014,4305683,-2575390,2883584,-797355,1913584,439614,425979,4850701,329420,-29126,-7171386
03/13/2014,0,0,0,0,0,-38502,0,0,0,0,0
03/24/2014,0,-32510,0,0,-49190,-125787,-352441,0,-125941,-107599,-151745
04/01/2014,212412,121033,195959,578802,42477,138595,0,0,0,-149260,-40711
04/02/2014,0,0,0,111419,0,101510,0,0,0,0,-73533
04/03/2014,2002025,36574,-211043,233164,-130061,44314,486100,0,0,54262,0
04/04/2014,188383,162178,28957,-4379,61100,-237759,103845,34422,159963,-204293,289318
04/07/2014,41803,220285,388116,121069,0,75283,-81896,0,55620,-417837,192742
04/08/2014,-963700,-525004,2140738,163773,-1299467,-507444,197175,0,57838,-869026,-2393840
04/09/2014,2096346,1195975,673807,257542,-562988,734710,20703,-3150738,62495,-2701549,-64609
04/10/2014,-1255963,-98102,11381596,652947,-1436296,4583381,502342,544087,-287879,2112345,-1075020
04/11/2014,198352,-163278,577098,566246,-504136,241747,-4637,-401269,-159115,143311,1953676
04/14/2014,133951,403084,200164,-1208908,-240683,-179915,-196395,173850,-166941,-415675,-388385
04/15/2014,2985396,-7875851,13985082,2256817,-8725407,-3855453,-2597497,-330959,-4623369,-3046686,7041247
04/16/2014,1646285,-305794,1754999,-234679,-193219,817453,24118,-1508231,469126,-865399,647101
04/17/2014,-1289053,-1556495,-274846,1152356,-1018523,-356279,-338987,11025,-702020,18316,235693
04/18/2014,1531409,1580127,3046387,242993,597362,221246,-126195,1068165,262817,-1432324,5456003
04/21/2014,-641488,-535656,-640936,-1168621,-203014,-1431823,-133312,-1770462,-11517,964728,911990
04/22/2014,545940,12957051,1614198,5386105,7765831,-1977983,-5438436,6039328,923316,6366011,1595949
04/23/2014,-188178,-341407,1725809,3238555,-2299979,-754550,-79038,485779,506443,-47071,729126
04/24/2014,-8235326,-820208,8195643,1770769,5261704,2524701,-923320,-220468,-3016906,-963828,16486877
04/25/2014,3559572,902813,28024898,5036323,6716447,-12663789,485877,1053399,-79304,-6716268,710597
04/28/2014,-181359,-1060428,1991078,-4977537,-1028796,5216078,2937212,2776590,-1639909,-450859,1758108
04/29/2014,1607622,5640747,-549598,114478,2188385,4182921,12947908,3022155,-974530,1906560,25069427
04/30/2014,20303541,4886452,7273638,-7422420,5356329,12563455,1632719,-1777740,-1478485,7140187,24369238
05/01/2014,10180662,5552135,22468364,1496645,646317,-5944106,-2220407,-189696,2432708,3863114,5924588
05/02/2014,16529525,25725656,76648947,-12449871,-6944341,5195131,-6317957,10108899,42474749,-1774137,5272427
05/05/2014,-16860067,-24188540,917846,877149,-5267354,5600624,3828830,8084057,-4404676,-5871002,9386221
05/06/2014,-33405056,-55670049,-5425142,-20606495,-52123361,-11037885,-60913810,5243891,-26170648,-59708270,-26337598
05/07/2014,-13916140,42188859,58620106,-4768246,-8436432,-148545899,3921947,8380177,-7672013,-2363758,34973551
05/08/2014,-3462801,-2966663,6530338,-4969757,-2180526,-8942935,2388624,3195300,-11817996,-4183087,9763630
05/09/2014,6617869,-8623106,68904921,-3996682,11351196,12927429,-832840,-761427,-8512855,-7335994,11560705
05/12/2014,25620743,26286319,45753156,-4941174,-2473577,-23106726,-2741963,-1976737,-7758019,-13071396,1158069
05/13/2014,-5769717,46028384,308008339,116450050,-13171477,74005537,4185431,121153334,30495599,-24895589,299778646
05/14/2014,100171007,-5110967,157559446,-8718944,-67683706,28075170,-8148598,25526128,-9276270,37669328,178017337
05/15/2014,16389243,50113855,400104204,-230623896,-47111491,4675519,60352339,35514369,-38081676,-18164469,454197973
05/16/2014,-51293520,-45647432,-78770796,-45451226,-13044133,-52264619,-1810801,-3202313,-12777603,-31875436,5061001
05/19/2014,-7342116,-1185052,-5173575,-4539520,-7490017,-3987799,-356512,-1951896,-1126176,-4464493,-2389907
05/20/2014,-1080145,341561,-4681752,210590,-918978,-821555,267196,-95896,1366159,1408426,-1854152
05/21/2014,-1339878,-1327592,1277169,1369305,-973304,-956514,-42152,14242,-42627,-975809,1903125
05/22/2014,1711996,1564594,4368113,783036,622309,145207,0,0,685441,695059,2797192
05/23/2014,5888667,8443856,10574684,13089577,5791248,5395971,3898523,2560693,2975398,1954264,6060504
05/27/2014,1083738,814025,511667,519540,462267,1297701,237215,137085,299526,647596,477477
05/28/2014,0,0,0,0,0,41259,0,0,0,0,0
05/29/2014,111165,-25710,132250,0,0,0,0,0,0,132613,0
05/30/2014,-35636,-50725,89185,0,0,0,0,0,0,115341,0
06/02/2014,-165214,0,0,0,0,-37378,0,0,-49579,0,-204955
06/03/2014,-312415,-93899,-739123,0,0,-163663,0,0,0,0,0
06/05/2014,153050,-45271,0,0,-44215,-156117,0,0,-246628,46043,79502
06/06/2014,307331,511552,0,-1285251,-574520,248122,1621381,-254665,-269049,123683,-396005
06/17/2014,-83323,0,0,0,-103223,-63621,0,0,0,0,0
06/18/2014,-54163,38249,0,0,0,0,0,0,0,0,0
07/01/2014,8633,139195,91308,455260,75000,105190,0,0,0,266134,0
07/02/2014,94903,-114610,670975,-181601,1125311,-1248976,0,0,6896,-2151620,2448030
07/03/2014,-173446,279914,0,0,0,127824,-200294,0,0,161934,0
07/07/2014,1131237,25337,-330476,-754623,327419,878401,2264080,111612,288043,622684,701379
07/08/2014,4212456,1756478,1933093,388295,-257430,-84971,146365,-17067,30427,-242552,-331432
07/09/2014,-404572,-4161993,-3455106,-1460682,3515526,1000000,2569684,585002,-422986,1407065,-3372388
07/10/2014,-1211337,868896,-786161,-21333,2049268,-5100850,99419,-32832,291025,2291711,4807707
07/11/2014,-1408055,1098587,-1892107,237171,-266118,285136,454748,-1634521,-866652,348705,514909
07/14/2014,-1569064,-8210121,-369258,-253574,439343,-1630999,481431,-2643302,-132593,517607,-386435
07/15/2014,-1104921,532279,945332,265574,253942,1559932,1541332,175826,-280989,1123898,467101
07/16/2014,-6795363,-2515527,794250,1206850,-1286547,71650,-1371047,586963,553468,708896,-262565
07/17/2014,-6165654,1085069,-683676,-1651800,679040,-422945,85062,232928,-35808,2656727,-1593696
07/18/2014,183250,5663200,2464747,2738868,-2830505,-3220037,-191750,-93553,13477865,-1000185,2729573
07/21/2014,7030094,-2742894,2645279,-507105,-3199246,1436473,1682222,-32186,-438507,-602530,694080
07/22/2014,427923,-2854896,253519,5175382,-127284,499957,2380883,838606,1539908,2427628,5013150
07/23/2014,578726,1823597,-1272241,-3384403,1228194,2021970,-18576,897634,-1126330,-527050,-1677474
07/24/2014,8166451,4385289,25378962,16763412,9959996,15944552,7997397,2123603,2681770,11979463,4842021
07/25/2014,6142882,12422776,5058310,-1000875,1926492,1670601,116978,310361,-1540702,1753621,399053
07/28/2014,3363794,5091192,5329450,6331120,529282,6164309,-885345,143112,1313690,3255219,3171568
07/29/2014,-2704479,2832397,-3323921,1720951,973922,453964,-531391,5830013,418936,105676,-402876
07/30/2014,3740035,4335976,1508118,1538137,3795542,4849056,2429513,995005,76394,9433749,3699710
07/31/2014,2121179,-1343957,284331,718077,353710,2829720,-5371062,897335,2586946,749587,-564017
08/01/2014,7773960,-2296704,11757049,-5813108,-10049708,33336578,1051565,-441519,1504683,11470011,6233907
08/04/2014,-18195226,539697,-3022283,2874137,-13239886,3710288,336155,3983327,-298032,-1157055,-22034935
08/05/2014,1271765,10508684,2083935,-4280721,-11789998,-5316571,1847145,1172930,2239680,750354,2116462
08/06/2014,-8131044,34890871,26156954,16376039,32855679,4367242,38203764,24082412,-16669068,47528524,24924134
08/07/2014,-16506647,-1723508,-2805854,1474782,1936271,-8443533,7325255,3869299,-3684160,-3393441,-35326861
08/08/2014,7572185,-7541527,-629404,38343131,-17967956,35450227,3662102,2127682,23769322,11257781,18139579
08/11/2014,16138051,71685161,11895241,31573300,32401788,50144426,9621458,63242791,26298968,61773061,18419921
