Date,XLF,XLK,XLE,XLY,XLP,XLV,XLI,XLU,XLRE,XLB,XLC,SPY
2012-01-03,8.536142349243164,21.622316360473633,45.19863510131836,33.70186233520508,23.113374710083008,28.458925247192383,27.09935760498047,22.92389488220215,,26.48838233947754,,101.09196472167969
2012-01-04,8.51054573059082,21.68095588684082,45.294063568115234,33.967384338378906,23.06353187561035,28.321245193481445,27.225078582763672,22.794164657592773,,26.711498260498047,,101.25050354003906
2012-01-05,8.625726699829102,21.747976303100586,45.077762603759766,34.25000762939453,23.04929542541504,28.402231216430664,27.23293113708496,22.839563369750977,,26.78842544555664,,101.52011108398438
2012-01-06,8.574532508850098,21.756351470947266,44.810585021972656,34.301395416259766,22.899755477905273,28.450828552246094,27.177928924560547,22.716320037841797,,26.74995231628418,,101.2584457397461
2012-01-09,8.619325637817383,21.722841262817383,45.02688217163086,34.25000762939453,22.935359954833984,28.499414443969727,27.382211685180664,22.748750686645508,,26.80381202697754,,101.50426483154297
2012-01-10,8.77290153503418,21.798240661621094,45.42765808105469,34.47269058227539,23.01368522644043,28.70998191833496,27.775066375732422,22.781185150146484,,27.30388069152832,,102.38433837890625
2012-01-11,8.875285148620605,21.865257263183594,44.81693649291992,34.524078369140625,22.914003372192383,28.734277725219727,27.861501693725586,22.677400588989258,,27.57316017150879,,102.43984985351562
2012-01-12,8.907279968261719,21.97416877746582,44.39707565307617,34.62685012817383,22.906877517700195,28.823368072509766,28.10506820678711,22.64497184753418,,27.95781898498535,,102.6856460571289
2012-01-13,8.84328842163086,21.84850311279297,44.174442291259766,34.58403015136719,22.885517120361328,28.693784713745117,27.88507652282715,22.631994247436523,,27.773178100585938,,102.15441131591797
2012-01-17,8.77290153503418,21.949037551879883,44.48614501953125,34.67825698852539,22.970966339111328,28.871967315673828,28.026500701904297,22.61253547668457,,27.927047729492188,,102.55084228515625
2012-01-18,8.907279968261719,22.267383575439453,45.21772384643555,35.234928131103516,23.020816802978516,29.033926010131836,28.27793312072754,22.606046676635742,,28.242481231689453,,103.68468475341797
2012-01-19,8.990460395812988,22.426555633544922,45.4022102355957,35.54326629638672,23.06353187561035,29.033926010131836,28.576496124267578,22.41793441772461,,28.265554428100586,,104.23174285888672
2012-01-20,9.048054695129395,22.45168685913086,45.40857696533203,35.2520751953125,23.070663452148438,29.033926010131836,28.411502838134766,22.45037078857422,,28.142471313476562,,104.62025451660156
2012-01-23,9.080047607421875,22.527082443237305,45.77117156982422,35.226375579833984,23.04929542541504,28.904359817504883,28.38006591796875,22.54117774963379,,28.127084732055664,,104.35063934326172
2012-01-24,9.067249298095703,22.51032257080078,45.63758087158203,35.32914733886719,22.921125411987305,28.91244888305664,28.411502838134766,22.359560012817383,,28.127084732055664,,104.23174285888672
2012-01-25,9.086447715759277,22.686248779296875,46.1973991394043,35.586082458496094,23.184585571289062,29.12302017211914,28.72579002380371,22.729293823242188,,28.57329559326172,,105.10391235351562
2012-01-26,9.009661674499512,22.53545379638672,45.56761169433594,35.526145935058594,23.099136352539062,28.993440628051758,28.670785903930664,22.807132720947266,,28.56559944152832,,104.56478118896484
2012-01-27,9.041653633117676,22.53545379638672,45.47218322753906,35.500450134277344,22.942487716674805,29.0096435546875,28.647212982177734,22.5282039642334,,28.60406494140625,,104.5172119140625
2012-01-30,8.95846939086914,22.602479934692383,45.255882263183594,35.397666931152344,22.792945861816406,28.96913719177246,28.54507064819336,22.385499954223633,,28.57329559326172,,104.1603775024414
2012-01-31,8.996864318847656,22.644365310668945,44.96962356567383,35.389102935791016,22.80719757080078,28.993440628051758,28.458648681640625,22.495777130126953,,28.60406494140625,,104.12075805664062
2012-02-01,9.137640953063965,22.87055778503418,45.14775848388672,35.50900650024414,22.970966339111328,29.276906967163086,28.765071868896484,22.57361602783203,,28.888717651367188,,105.03254699707031
2012-02-02,9.182428359985352,22.929203033447266,45.49127197265625,35.4661750793457,23.056415557861328,29.163515090942383,28.78079605102539,22.534700393676758,,28.750244140625,,105.19905090332031
2012-02-03,9.431986808776855,23.222414016723633,46.29281234741211,36.194175720214844,23.127614974975586,29.333589553833008,29.275781631469727,22.59307861328125,,29.142601013183594,,106.67382049560547
2012-02-06,9.387195587158203,23.230789184570312,46.846275329589844,36.1170768737793,23.113374710083008,29.17161750793457,29.205066680908203,22.495777130126953,,28.981048583984375,,106.60247039794922
2012-02-07,9.380796432495117,23.2894344329834,47.0880126953125,36.28839111328125,23.134740829467773,29.276906967163086,29.173641204833984,22.657943725585938,,28.95026969909668,,106.87202453613281
2012-02-08,9.45118236541748,23.431848526000977,46.92898178100586,36.374046325683594,23.141862869262695,29.276906967163086,29.236494064331055,22.683889389038086,,28.981048583984375,,107.189208984375
2012-02-09,9.412788391113281,23.658044815063477,46.935333251953125,36.43398666381836,23.270030975341797,29.12302017211914,29.315074920654297,22.619016647338867,,29.011825561523438,,107.32396697998047
2012-02-10,9.323206901550293,23.48211669921875,46.46458435058594,36.23701858520508,23.220190048217773,29.00153923034668,29.04792594909668,22.57361602783203,,28.50405502319336,,106.53108978271484
2012-02-13,9.406391143798828,23.632905960083008,46.83354187011719,36.5281867980957,23.319869995117188,29.220203399658203,29.401493072509766,22.547666549682617,,28.580989837646484,,107.32396697998047
2012-02-14,9.31680965423584,23.674800872802734,46.9162483215332,36.48538589477539,23.37684440612793,29.341684341430664,29.29936408996582,22.55415153503418,,28.21170997619629,,107.189208984375
